order_id,customer_id,order_date
1,927,2026-01-21
2,878,2026-05-29
3,469,2025-09-05
4,489,2025-09-16
5,936,2026-04-11
6,372,2025-12-31
7,705,2026-02-21
8,251,2025-09-15
9,86,2026-04-12
10,471,2026-02-03
11,166,2025-09-26
12,14,2025-11-25
13,791,2026-05-27
14,768,2026-02-25
15,466,2025-12-06
16,3,2025-11-06
17,731,2025-10-25
18,353,2026-03-28
19,107,2026-04-30
20,173,2026-01-10
21,500,2025-07-12
22,422,2025-11-02
23,806,2025-07-02
24,850,2026-05-30
25,799,2025-10-13
26,709,2025-10-02
27,463,2026-04-22
28,443,2025-09-29
29,742,2026-01-18
30,997,2025-12-07
31,366,2025-11-30
32,88,2025-08-16
33,146,2026-03-19
34,890,2026-03-26
35,386,2025-11-05
36,797,2025-10-09
37,154,2026-01-18
38,951,2026-04-25
39,700,2025-12-16
40,310,2025-07-07
41,187,2026-04-17
42,654,2026-05-29
43,108,2026-03-09
44,593,2025-12-07
45,726,2026-02-05
46,39,2025-10-23
47,693,2025-08-17
48,235,2025-12-31
49,664,2026-04-13
50,617,2025-12-14
51,848,2025-08-25
52,231,2025-10-29
53,463,2026-01-14
54,509,2025-09-01
55,885,2026-05-04
56,579,2025-07-07
57,788,2025-06-19
58,676,2025-09-07
59,461,2026-04-25
60,848,2025-09-24
61,253,2026-03-05
62,491,2025-10-12
63,616,2026-04-06
64,72,2026-05-01
65,130,2025-08-07
66,159,2026-03-17
67,827,2026-04-09
68,103,2026-04-29
69,902,2026-04-08
70,984,2025-08-28
71,318,2026-02-04
72,533,2026-05-06
73,294,2026-04-23
74,917,2025-11-23
75,197,2026-04-14
76,429,2026-01-09
77,211,2025-08-31
78,610,2025-06-08
79,737,2025-12-24
80,568,2025-10-01
81,898,2025-10-31
82,500,2026-02-04
83,833,2026-01-25
84,679,2025-11-08
85,298,2026-03-24
86,668,2025-11-13
87,71,2026-05-31
88,761,2026-02-20
89,724,2026-01-15
90,569,2026-01-31
91,157,2026-01-04
92,356,2025-07-17
93,402,2026-01-28
94,569,2026-02-26
95,484,2026-04-07
96,646,2025-08-31
97,318,2026-03-18
98,963,2025-07-16
99,936,2025-09-17
100,191,2025-10-28
101,833,2026-01-13
102,996,2025-07-11
103,663,2025-11-21
104,717,2025-09-08
105,248,2025-11-05
106,596,2025-10-07
107,592,2025-07-18
108,916,2026-04-09
109,52,2026-03-21
110,876,2026-03-22
111,487,2025-06-21
112,457,2026-03-03
113,125,2026-05-31
114,983,2026-03-17
115,278,2026-02-16
116,682,2026-04-22
117,503,2026-04-04
118,488,2025-08-03
119,725,2026-01-26
120,94,2026-03-07
121,777,2025-06-23
122,644,2025-08-27
123,299,2025-09-07
124,998,2026-04-11
125,10,2026-04-21
126,467,2025-08-18
127,966,2025-12-16
128,954,2026-04-15
129,830,2025-08-13
130,839,2025-12-02
131,523,2026-02-11
132,928,2025-07-13
133,73,2026-05-29
134,861,2026-04-30
135,131,2025-06-11
136,293,2025-12-07
137,248,2026-03-29
138,347,2025-08-04
139,989,2025-11-13
140,14,2025-10-13
141,200,2026-05-13
142,424,2025-10-24
143,772,2025-06-30
144,678,2026-05-28
145,162,2026-05-14
146,305,2025-08-06
147,300,2025-11-12
148,993,2025-12-17
149,325,2025-07-16
150,447,2026-05-26
151,549,2025-11-03
152,339,2025-12-24
